beta,alpha,tau,seed,rep,community_id,community_size,degree_opinion_corr
0.5,0.0,0.0,2693614301291087812,20,1,114,-0.6394812832996856
0.5,0.0,0.0,2693614301291087812,20,2,144,-0.5245920269852097
0.5,0.0,0.0,2693614301291087812,20,3,129,-0.5912203630166725
0.5,0.0,0.0,2693614301291087812,20,4,120,-0.5501573060529759
0.5,0.0,0.0,2693614301291087812,20,5,121,-0.6242017690307637
0.5,0.0,0.0,2693614301291087812,20,6,112,-0.5658125814902403
0.5,0.0,0.0,2693614301291087812,20,7,108,-0.6851993199990545
0.5,0.0,0.0,2693614301291087812,20,8,78,-0.6234049729719837
0.5,0.0,0.0,8572289209187469236,21,1,101,-0.5205912387185438
0.5,0.0,0.0,8572289209187469236,21,2,119,-0.6135336066732936
0.5,0.0,0.0,8572289209187469236,21,3,94,-0.6760751408025756
0.5,0.0,0.0,8572289209187469236,21,4,68,-0.648216807915106
0.5,0.0,0.0,8572289209187469236,21,5,64,-0.5100601915893432
0.5,0.0,0.0,8572289209187469236,21,6,115,-0.6103314947913265
0.5,0.0,0.0,8572289209187469236,21,7,64,-0.3559438895983672
0.5,0.0,0.0,8572289209187469236,21,8,68,-0.6316622571008994
0.5,0.0,0.0,8572289209187469236,21,9,111,-0.6335005381771447
0.5,0.0,0.0,8572289209187469236,21,10,102,-0.589916058764902
0.5,0.0,0.0,14468599186237445541,22,1,113,-0.5415468074760422
0.5,0.0,0.0,14468599186237445541,22,2,121,-0.6456213571011297
0.5,0.0,0.0,14468599186237445541,22,3,129,-0.6245488982720859
0.5,0.0,0.0,14468599186237445541,22,4,141,-0.526140046130884
0.5,0.0,0.0,14468599186237445541,22,5,136,-0.5209129900237097
0.5,0.0,0.0,14468599186237445541,22,6,66,-0.5132730755073993
0.5,0.0,0.0,14468599186237445541,22,7,82,-0.5473058771798704
0.5,0.0,0.0,14468599186237445541,22,8,120,-0.536886748376326
0.5,0.0,0.0,1901208294544877403,23,1,93,-0.5038719895041746
0.5,0.0,0.0,1901208294544877403,23,2,87,-0.5558727775334956
0.5,0.0,0.0,1901208294544877403,23,3,120,-0.6823315958478843
0.5,0.0,0.0,1901208294544877403,23,4,95,-0.6850216811748997
0.5,0.0,0.0,1901208294544877403,23,5,90,-0.576598696645454
0.5,0.0,0.0,1901208294544877403,23,6,105,-0.5847512685740304
0.5,0.0,0.0,1901208294544877403,23,7,91,-0.6491382843367594
0.5,0.0,0.0,1901208294544877403,23,8,103,-0.4640114602799603
0.5,0.0,0.0,1901208294544877403,23,9,122,-0.6821290102084338
0.5,0.0,0.0,7781763966473569378,24,1,112,-0.5470081239152662
0.5,0.0,0.0,7781763966473569378,24,2,115,-0.6222014530919582
0.5,0.0,0.0,7781763966473569378,24,3,99,-0.5226747919640868
0.5,0.0,0.0,7781763966473569378,24,4,94,-0.5252589636938348
0.5,0.0,0.0,7781763966473569378,24,5,91,-0.546355271172789
0.5,0.0,0.0,7781763966473569378,24,6,107,-0.4914565761994643
0.5,0.0,0.0,7781763966473569378,24,7,106,-0.4442446948438555
0.5,0.0,0.0,7781763966473569378,24,8,125,-0.563342299340926
0.5,0.0,0.0,7781763966473569378,24,9,65,-0.38365612792548853
0.5,0.0,0.0,13661427178557475337,25,1,111,-0.5243952515934893
0.5,0.0,0.0,13661427178557475337,25,2,122,-0.642532160169311
0.5,0.0,0.0,13661427178557475337,25,3,133,-0.5585023405477795
0.5,0.0,0.0,13661427178557475337,25,4,129,-0.5635215526988555
0.5,0.0,0.0,13661427178557475337,25,5,67,-0.6771601946966921
0.5,0.0,0.0,13661427178557475337,25,6,95,-0.6286387302412391
0.5,0.0,0.0,13661427178557475337,25,7,94,-0.6146690175179353
0.5,0.0,0.0,13661427178557475337,25,8,139,-0.5767312712443154
0.5,0.0,0.0,1096417436062271240,26,1,121,-0.535825605297841
0.5,0.0,0.0,1096417436062271240,26,2,144,-0.6557647459788511
0.5,0.0,0.0,1096417436062271240,26,3,122,-0.4958537816762366
0.5,0.0,0.0,1096417436062271240,26,4,107,-0.5141048193686415
0.5,0.0,0.0,1096417436062271240,26,5,129,-0.5086764196509845
0.5,0.0,0.0,1096417436062271240,26,6,110,-0.5451709064228402
0.5,0.0,0.0,1096417436062271240,26,7,123,-0.6054239512025449
0.5,0.0,0.0,1096417436062271240,26,8,76,-0.6241289203094693
0.5,0.0,0.0,6973299190816770366,27,1,109,-0.5622193351111625
0.5,0.0,0.0,6973299190816770366,27,2,59,-0.46733427843086006
0.5,0.0,0.0,6973299190816770366,27,3,115,-0.6300157218938509
0.5,0.0,0.0,6973299190816770366,27,4,100,-0.6357529074389084
0.5,0.0,0.0,6973299190816770366,27,5,108,-0.4944627690124509
0.5,0.0,0.0,6973299190816770366,27,6,88,-0.6205653438808292
0.5,0.0,0.0,6973299190816770366,27,7,107,-0.5719505890946611
0.5,0.0,0.0,6973299190816770366,27,8,110,-0.5810055998783903
0.5,0.0,0.0,6973299190816770366,27,9,102,-0.6468157730466892
0.5,0.0,0.0,12853196534452992199,28,1,121,-0.6042402893442973
0.5,0.0,0.0,12853196534452992199,28,2,107,-0.5177804761099065
0.5,0.0,0.0,12853196534452992199,28,3,89,-0.6717889161096757
0.5,0.0,0.0,12853196534452992199,28,4,68,-0.6317670342551588
0.5,0.0,0.0,12853196534452992199,28,5,104,-0.6776216519081449
0.5,0.0,0.0,12853196534452992199,28,6,121,-0.5044133011010826
0.5,0.0,0.0,12853196534452992199,28,7,118,-0.5083120490585964
0.5,0.0,0.0,12853196534452992199,28,8,101,-0.5203264206688006
0.5,0.0,0.0,12853196534452992199,28,9,67,-0.6100607586247198
0.5,0.0,0.0,309304959330976639,29,1,126,-0.597998356363297
0.5,0.0,0.0,309304959330976639,29,2,74,-0.5826481625839512
0.5,0.0,0.0,309304959330976639,29,3,117,-0.5321267413926151
0.5,0.0,0.0,309304959330976639,29,4,65,-0.6905822890887594
0.5,0.0,0.0,309304959330976639,29,5,88,-0.5562958095041642
0.5,0.0,0.0,309304959330976639,29,6,119,-0.6574441200557576
0.5,0.0,0.0,309304959330976639,29,7,132,-0.6702401089573886
0.5,0.0,0.0,309304959330976639,29,8,108,-0.5778261601839947
0.5,0.0,0.0,309304959330976639,29,9,71,-0.5650203522304674
0.5,0.0,0.0,6187754027109410978,30,1,67,-0.5683319306353277
0.5,0.0,0.0,6187754027109410978,30,2,131,-0.5879438700498469
0.5,0.0,0.0,6187754027109410978,30,3,103,-0.5933303327332421
0.5,0.0,0.0,6187754027109410978,30,4,132,-0.5999361488734297
0.5,0.0,0.0,6187754027109410978,30,5,111,-0.640593124381358
0.5,0.0,0.0,6187754027109410978,30,6,116,-0.560519125615153
0.5,0.0,0.0,6187754027109410978,30,7,101,-0.6468802938775359
0.5,0.0,0.0,6187754027109410978,30,8,96,-0.44164682228937674
0.5,0.0,0.0,6187754027109410978,30,9,68,-0.5106832527807075
0.5,0.0,1.0,1886630827569662473,1,1,91,-0.608826727165621
0.5,0.0,1.0,1886630827569662473,1,2,103,-0.505316128066543
0.5,0.0,1.0,1886630827569662473,1,3,72,-0.5313653175698176
0.5,0.0,1.0,1886630827569662473,1,4,73,-0.4590793726363723
0.5,0.0,1.0,1886630827569662473,1,5,56,-0.5654223740563641
0.5,0.0,1.0,1886630827569662473,1,6,93,-0.4962471482874804
